Literature Review;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BibliographyType;Copy & Paste für Tabelle (Dots) —> Incentives & Environment;Copy & Paste für Tabelle (Dots);Copy & Paste für Tabelle (Checkmark);ISBN;Identifier;Author;Title;Journal;Volume;Number;Month;Pages;Year;Address;Note;URL;Booktitle;Chapter;Edition;Series;Editor;Publisher;ReportType;Howpublished;Institution;Organizations;School;Annote;Custom1;Custom2;Custom3;Custom4;Custom5;Contains Incentive?;Latex Incentives & Environment;Economic;Social;No specific incentive;Money / Monetary Reward / Price;Resources (Services, Data);Token / Coin / Virtuelles Guthaben;Status / Reputation;IoT Domain;Forensics;Scenario;Scenario;Technology;Domains (aus Table 4);Strategy;Legislation & Regulation;Governance;Compliance;Training;System & Events;Policy & Procedure;Risk Management;Monitor & Report;Act / All Domains;Device;Network;Cloud;IoT Layer;Technical;Personal;Incentive
6;\rowcolor{gray!25} Abusafia and Bouguettaya \cite{10.1145/3448891.3448941} & 2021 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;\rowcolor{gray!25} Abusafia and Bouguettaya \cite{10.1145/3448891.3448941} & 2021 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;\rowcolor{gray!25} Abusafia and Bouguettaya \cite{10.1145/3448891.3448941} & 2021 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;9,78145E+12;10.1145/3448891.3448941;"Abusafia, Amani; Bouguettaya, Athman";Reliability Model for Incentive-Driven IoT Energy Services;;;;;196–205;2021;New York, NY, USA;;https://doi.org/10.1145/3448891.3448941;MobiQuitous 2020 - 17th EAI International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services;;;MobiQuitous '20;;Association for Computing Machinery;;;;;;;We propose a novel reliability model for composing energy service requests. The proposed model is based on consumers’ behavior and history of energy requests. The reliability model ensures the maximum incentives to providers. Incentives are used as a green solution to increase IoT users’ participation in a crowdsourced energy sharing environment. Additionally, adaptive and priority scheduling compositions are proposed to compose the most reliable energy requests while maximizing providers’ incentives. A set of experiments is conducted to evaluate the proposed approaches. Experimental results prove the efficiency of the proposed approaches.;;Wearable, IoT services, Service composition, IoT, Incentives, Energy Sharing, EaaS, Reliability;;;Yes; &  &  & $\bullet$ &  & $\bullet$ & Energy, MCS & not included & Crowd-sourced energy sharing environment, green computing & Reliability-Based Wireless Energy Sharing System, SaaS \\;1;0;;;;X;;Energy, MCS;not included;Wireless Energy Transfer;Crowd-sourced energy sharing environment, green computing;Reliability-Based Wireless Energy Sharing System, SaaS;Risk Management;;;;;;;;1;;;1;1;0;Device, Network;1;0;Technical
6;Fukuda and Omote \cite{9346265} & 2021 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;Fukuda and Omote \cite{9346265} & 2021 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;Fukuda and Omote \cite{9346265} & 2021 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;9346265;"Fukuda, Tatsuhiro; Omote, Kazumasa";Efficient Blockchain-based IoT Firmware Update Considering Distribution Incentives;;;;;1-8;2021;;;;2021 IEEE Conference on Dependable and Secure Computing (DSC);;;;;;;;;;;;;;;;;Yes;$\bullet$ &  &  &  &  & $\bullet$ & Distributed & not included & Firmware (update) distribution method  & Blockchain, incentive mechanism, peer-to-peer file sharing \\;0;0;X;;;;;Distributed;not included;Security Patching;Firmware (update) distribution method ;Blockchain, incentive mechanism, peer-to-peer file sharing;System & Events;;;;;;1;;;;;0;0;0;IoT;1;0;Technical
7;\rowcolor{gray!25} Gupta et al. \cite{9525441} & 2021 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;\rowcolor{gray!25} Gupta et al. \cite{9525441} & 2021 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;\rowcolor{gray!25} Gupta et al. \cite{9525441} & 2021 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;9525441;"Gupta, Nitin; Singh, Jagdeep; Dhurandher, Sanjay Kumar; Han, Zhu";Contract Theory based Incentive Design Mechanism for Opportunistic IoT Networks;IEEE Internet of Things Journal;;;;1-1;2021;;;;;;;;;;;;;;;;;;;;;Yes; & $\bullet$ &  &  &  & $\bullet$ & Ad-hoc & not included & IoT-based information/message routing & Contract Theory, Incentive Mechanism \\;1;0;;X;;;;Ad-hoc;not included;Collaborative Tasks;IoT-based information/message routing;Contract Theory, Incentive Mechanism;System & Events, Risk Management;;;;;;1;;1;;;1;1;0;Device, Network;1;0;Technical
7;Kim et al. \cite{9296286} & 2021 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;Kim et al. \cite{9296286} & 2021 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;Kim et al. \cite{9296286} & 2021 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;9296286;"Kim, Nakyoung; Kim, Daejin; Lee, Joohyung; Niyato, Dusit; Choi, Jun Kyun";Incentive-Based Coded Distributed Computing Management for Latency Reduction in IoT Services—A Game Theoretic Approach;IEEE Internet of Things Journal;8;10;;8259-8278;2021;;;;;;;;;;;;;;;;;;;;;Yes; & $\bullet$ &  &  &  & $\bullet$ & AI & not included & Latency Reduction, speed up distributed computing (cooperative)/ ML & Incentive-based coded distributed computing mechanism \\;1;0;;X;;;;AI;not included;Flexible Computing;Latency Reduction, speed up distributed computing (cooperative)/ ML;Incentive-based coded distributed computing mechanism;System & Events;;;;;;1;;;;;1;1;0;Device, Network;1;0;Technical
7;\rowcolor{gray!25} Xu et al. \cite{9663227} & 2021 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;\rowcolor{gray!25} Xu et al. \cite{9663227} & 2021 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;\rowcolor{gray!25} Xu et al. \cite{9663227} & 2021 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;9663227;"Xu, Yajing; Lu, Zhihui; Gai, Keke; Duan, Qiang; Lin, Junxiong; Wu, Jie; Choo, Kim-Kwang Raymond";BESIFL: Blockchain Empowered Secure and Incentive Federated Learning Paradigm in IoT;IEEE Internet of Things Journal;;;;1-1;2021;;;;;;;;;;;;;;;;;;;;;Yes; &  &  & $\bullet$ &  & $\bullet$ & AI & Partially included (malicious nodes) & Collaborative learning for malicious node detection (privacy protection) & Blockchain, contribution-based incentive mechanism, consensus algorithm, federated learning  \\;1;0;;;;X;;AI;Partially included (malicious nodes);Vulnerability Detection;Collaborative learning for malicious node detection (privacy protection);Blockchain, contribution-based incentive mechanism, consensus algorithm, federated learning ;System & Events, Monitor & Report;;;;;;1;;;1;;1;1;0;Device, Network;1;0;Technical
7;Xu et al. \cite{XU2021101932} & 2021 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;Xu et al. \cite{XU2021101932} & 2021 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;Xu et al. \cite{XU2021101932} & 2021 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;XU2021101932;"Xu, Huiying; Qiu, Xiaoyu; Zhang, Weikun; Liu, Kang; Liu, Shuo; Chen, Wuhui";Privacy-preserving incentive mechanism for multi-leader multi-follower IoT-edge computing market: A reinforcement learning approach;Journal of Systems Architecture;114;;;101932;2021;;;https://www.sciencedirect.com/science/article/pii/S1383762120301910;;;;;;;;;;;;;Computation offloading is a promising solution for resource-limited IoT devices to accomplish computation-intensive tasks. In order to promote the service trading between edge computing service providers and IoT devices, a series of works have explored incentive mechanisms for IoT-edge computing. However, most traditional incentive mechanisms (such as Stackelberg game-based approaches) expose privacy of participants. Moreover, the existing Reinforcement Learning (RL) based incentive mechanisms do not consider the competition among multiple providers, which is not in line with reality. In this paper, taking privacy concern and competition among providers into consideration, we utilize RL technique to design a privacy-preserving incentive mechanism for multiple providers and multiple IoT devices. Specifically, we model the pricing and demand problem of providers and IoT devices as a multi-leader multi-follower Stackelberg game, in which the providers work as leaders to determine their prices first, and then the IoT devices determine their demands as followers. We prove the existence and uniqueness of the Nash Equilibrium (NE) of this game. Due to privacy concern, providers and IoT devices are unwilling to disclose their own parameters, which makes the derivation of NE becoming a great challenge. To address this problem, a new RL-based Pricing Mechanism (RLPM) is proposed, which enables providers to learn their optimal pricing strategies without knowing private information of other participants. Finally, numerical simulations are conducted to illustrate the convergence and effectiveness of the RLPM compared with other existing algorithms.;;Multi-leader multi-follower Stackelberg game, Incentive mechanism, Internet of Things, Edge computing, Reinforcement learning, Privacy-preserving;;;Yes; & $\bullet$ &  &  &  & $\bullet$ & AI & not included & Accomplish computation intensive tasks (privacy preserving) & Reinforcement Learning, Computational Offloading, RL-based Pricing Mechanism  \\;1;0;;X;;;;AI;not included;Flexible Computing;Accomplish computation intensive tasks (privacy preserving);Reinforcement Learning, Computational Offloading, RL-based Pricing Mechanism ;System & Events, Training;;;;;1;1;;;;;1;1;0;Device, Network;1;0;Technical
7;\rowcolor{gray!25} Chen et al. \cite{CHEN2022154172} & 2022 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;\rowcolor{gray!25} Chen et al. \cite{CHEN2022154172} & 2022 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;\rowcolor{gray!25} Chen et al. \cite{CHEN2022154172} & 2022 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;CHEN2022154172;"Chen, Lu; Zhang, De-gan; Zhang, Jie; Zhang, Ting; Du, Jin-yu; Fan, Hong-rui";An approach of flow compensation incentive based on Q-Learning strategy for IoT user privacy protection;AEU - International Journal of Electronics and Communications;148;;;154172;2022;;;https://www.sciencedirect.com/science/article/pii/S1434841122000693;;;;;;;;;;;;;In MCS (mobile crowd sensing), reducing network overhead, protecting IoT user privacy and increasing the participation enthusiasm of perception task are key issues. The QLPPIA (an incentive approach of flow offset based on Q-Learning algorithm for perception user privacy protection) was proposed. A system model that combined MCS with MEC (mobile edge computing) was designed. The edge center uploaded the perception results to the MCS cloud declining its cloud overhead. A privacy protection structure of attribute relevance based on Markov chain Monte Carlo was constructed, which can protect the privacy data. Perception outcomes with higher accuracy of attribute relevance were generated. An incentive pattern of flow offset for user privacy protection based on Q-Learning opportunistic cooperation transfer was designed to cut down MCS cloud flow offset cost and facilitate user enthusiasm. Compared with the existing private protection of high-dimensional attribute data, opportunistic relay perception incentive, and other solutions, the QLPPIA method improves the perception result precision by 27.06%, increases MCS cloud cost of 88.80%, and declines flow compensation expenditure at 19.03% on average.;;MCS, MEC, Privacy protection strategy, Incentive mechanism, Reinforcement learning;;;Yes;$\bullet$ &  &  &  &  & $\bullet$ & MCS & not included & Mobile crowd sensing to reduce network overhead, protect privacy & Q-Learning opportunistic cooperation  \\;0;0;X;;;;;MCS;not included;Data Offloading;Mobile crowd sensing to reduce network overhead, protect privacy;Q-Learning opportunistic cooperation ;System & Events, Risk Management;;;;;;1;;1;;;0;0;0;IoT;1;0;Technical
6;Han et al. \cite{10.1007/978-981-16-6554-7_1} & 2022 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;Han et al. \cite{10.1007/978-981-16-6554-7_1} & 2022 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;Han et al. \cite{10.1007/978-981-16-6554-7_1} & 2022 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;978-981-16-6554-7;10.1007/978-981-16-6554-7_1;"Han, Bingyang; Zhang, Yanan; Ou, Qinghai; Song, Jigao; Wang, Xuanzhong";A Double Incentive Trading Mechanism for IoT and Blockchain Based Electricity Trading in Local Energy Market;;;;;3--12;2022;Singapore;;;Proceedings of the 11th International Conference on Computer Engineering and Networks;;;;"Liu, Qi; Liu, Xiaodong; Chen, Bo; Zhang, Yiming; Peng, Jiansheng";Springer Nature Singapore;;;;;;;In local energy market, double auction is the most frequently used trading mechanism in blockchain based electricity power trading. In the general form of double auction, the transaction orders and prices only depend on the sellers bid and buyers offer prices, regardless of the energy production efficiency of producers and electricity consumption efficiency of consumers. As a consequence, the competitiveness of renewable energy is undermined and the amount of wasted electricity is increased. With the rapid development of IoT technologies and smart grid, it becomes much easier to obtain information and status of producers and consumers. Therefore, we consider combining IoT technologies with blockchain and proposing a double incentive trading mechanism which considers the external costs of producers and the efficiency of consumers in blockchain based electricity power trading. More specifically, we put forward a metric called priority value (PV) which quantifies the external costs or the efficiency of the consumers to optimize the electricity transactions. The case study shows that our method provides more trading preference for producers and consumers which produce/consume electricity more efficiently and environmentally friendly compared with the traditional trading method. The results also indicate that our method will incent the consumption of renewable energy and stimulate electricity producers to improve the utilization efficiency of fossil fuels, which helps to reduce carbon emissions, and coal consumption, and will also encourage users to improve electricity consumption behavior and save electricity.;;;;;Yes; & $\bullet$ &  &  &  & $\bullet$ & Energy & not included & Electricity Trading on local energy markets, green computing & Blockchain, double auction mechanism, incentive trading \\;1;0;;X;;;;Energy;not included;Wireless Energy Transfer;Electricity Trading on local energy markets, green computing;Blockchain, double auction mechanism, incentive trading;System & Events, Risk Management;;;;;;1;;1;;;0;0;0;IoT;1;0;Technical
7;\rowcolor{gray!25} Huang et al. \cite{9983538} & 2022 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;\rowcolor{gray!25} Huang et al. \cite{9983538} & 2022 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;\rowcolor{gray!25} Huang et al. \cite{9983538} & 2022 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;9983538;"Huang, Shuman; Chuai, Gang; Gao, Weidong; Zhang, Kaisa";Agency selling format-based incentive scheme in cooperative hybrid VLC/RF IoT system with SLIPT;IEEE Internet of Things Journal;;;;1-1;2022;;;;;;;;;;;;;;;;;;;;;Yes;$\bullet$ &  &  &  &  & $\bullet$ & VLC, RF  & not included & Cooperation of nodes for information delivery, system performance improve & Contract theory, simultaneous light- wave information and power transfer (SLIPT), agency selling incentive \\;0;0;X;;;;;VLC, RF ;not included;Collaborative Tasks;Cooperation of nodes for information delivery, system performance improve;Contract theory, simultaneous light- wave information and power transfer (SLIPT), agency selling incentive;System & Events, Monitor & Report;;;;;;1;;;1;;0;0;0;IoT;1;0;Technical
7;Lin et al. \cite{9197687} & 2022 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;Lin et al. \cite{9197687} & 2022 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;Lin et al. \cite{9197687} & 2022 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;9197687;"Lin, Xi; Wu, Jun; Bashir, Ali Kashif; Li, Jianhua; Yang, Wu; Piran, Md. Jalil";Blockchain-Based Incentive Energy-Knowledge Trading in IoT: Joint Power Transfer and AI Design;IEEE Internet of Things Journal;9;16;;14685-14698;2022;;;;;;;;;;;;;;;;;;;;;Yes; & $\bullet$ & $\bullet$ & $\bullet$ &  & $\bullet$ & AI & not included & Knowledge Trading with wireless power transfer, prolong battery life & Blockchain, Wirelessly Powered Edge intelliGence (WPEG) framework, P2P energy \\;1;0;;X;X;X;;AI;not included;Knowledge Trading;Knowledge Trading with wireless power transfer, prolong battery life;Blockchain, Wirelessly Powered Edge intelliGence (WPEG) framework, P2P energy;Governance, System & Events;;;1;;;1;;;;;0;0;1;Cloud centric;1;0;Technical
6;\rowcolor{gray!25} Nandini and Kempanna \cite{10.1007/978-981-16-9113-3_22} & 2022 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;\rowcolor{gray!25} Nandini and Kempanna \cite{10.1007/978-981-16-9113-3_22} & 2022 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;\rowcolor{gray!25} Nandini and Kempanna \cite{10.1007/978-981-16-9113-3_22} & 2022 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;978-981-16-9113-3;10.1007/978-981-16-9113-3_22;"Nandini, S.; Kempanna, M.";Lifetime Aware Secure Data Aggregation through Integrated Incentive-based Mechanism in IoT-based WSN Environment;;;;;287--297;2022;Singapore;;;Congress on Intelligent Systems;;;;"Saraswat, Mukesh; Sharma, Harish; Balachandran, K.; Kim, Joong Hoon; Bansal, Jagdish Chand";Springer Nature Singapore;;;;;;;"Internet of things grabbed fine attention by researchers due to wide range of applicability in daily human life-based application like healthcare, agriculture, and so on. WSN possesses a restricted environment and also generates a huge amount of data and further cause's data redundancy. Although data redundancy is efficiently solved through the various data aggregation mechanism, security remains a primary concern for adaptability in the real-time environment. Integrated incentive-based mechanism (IIBM) follows three parts, i.e., first, this research work designs the optimal and secure data aggregation; second part follows the formulation of correctly identification of deceptive data packets, and third part includes discarding deceptive node through conditional approach. Integrated incentive mechanism is evaluated considering the different security parameters like identification of malicious node and misidentified malicious or dishonest node; further, comparison is carried out with the existing model to prove the model efficiency. Furthermore, another parameter like energy utilization and several node functioning is considered for the optimality evaluation of the model. Performance evaluation shows enhancement of nearly 7{\%}, 14{\%}, and 15{\%} considering the three distinctive deceptive nodes, i.e., 5, 10, and 15 (in percentage), respectively.";;;;;Yes;$\bullet$ &  &  &  &  & $\bullet$ & WSN, Generic & Partially included (malicious nodes/pakets) & Secure Data Aggregation, identification of malicious/dishonest nodes, energy utilization & Data aggregation / incentive-based mechanism, comparative analysis for data packets \\;0;0;X;;;;;WSN, Generic;Partially included (malicious nodes/pakets);Malicious Detection;Secure Data Aggregation, identification of malicious/dishonest nodes, energy utilization;Data aggregation / incentive-based mechanism, comparative analysis for data packets;Monitor & Report, Risk Management;;;;;;;;1;1;;1;1;0;Device, Network;1;0;Technical
7;Zhang et al. \cite{9758074} & 2022 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;Zhang et al. \cite{9758074} & 2022 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;Zhang et al. \cite{9758074} & 2022 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;9758074;"Zhang, Mingyue; Zhou, Junlong; Cong, Peijin; Zhang, Gongxuan; Zhuo, Cheng; Hu, Shiyan";LIAS: A Lightweight Incentive Authentication Scheme for Forensic Services in IoV;IEEE Transactions on Automation Science and Engineering;;;;1-16;2022;;;;;;;;;;;;;;;;;;;;;Yes;$\bullet$ &  &  &  &  & $\bullet$ & IoV & included & digital witness, pictorial services for IoV users and law enforcement agencies  & lightweight incentive authentication scheme (LIAS)  \\;0;0;X;;;;;IoV;included;Digital Witness;digital witness, pictorial services for IoV users and law enforcement agencies ;lightweight incentive authentication scheme (LIAS) ;Legislation & Regulation, Compliance, Training, Policy & Procedure (ACT);;1;;1;1;;1;;;;0;0;0;IoT;1;0;Technical
7;\rowcolor{gray!25} Zhang et al. \cite{9680715} & 2022 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;\rowcolor{gray!25} Zhang et al. \cite{9680715} & 2022 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;\rowcolor{gray!25} Zhang et al. \cite{9680715} & 2022 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;9680715;"Zhang, Chi; Shen, Tao; Bai, Fenhua";Toward Secure Data Sharing for the IoT devices with limited resources: A Smart Contract–Based Quality-Driven Incentive Mechanism;IEEE Internet of Things Journal;;;;1-1;2022;;;;;;;;;;;;;;;;;;;;;Yes;$\bullet$ &  &  &  &  & $\bullet$ & Generic & not included & Secure Data Sharing with high quality & Blockchain, DQ evaluation/incentive mechanism, Stackelberg, trusted sharing \\;0;0;X;;;;;Generic;not included;Knowledge Trading;Secure Data Sharing with high quality;Blockchain, DQ evaluation/incentive mechanism, Stackelberg, trusted sharing;Governance;;;1;;;;;;;;0;0;0;IoT;1;0;Technical
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100%;;20;4;13;16;3;8;4;;;;;;;3;1;8;1;2;14;1;17;10;0;19;17;2;;22;12;
